"{""data_time"":",eta_seconds:,iteration:,fast_rcnn/false_negative:,fast_rcnn/fg_cls_accuracy:,fast_rcnn/fg_cls_accuracy:,,loss_box_reg:,loss_cls:,loss_mask:,loss_rpn_cls:,loss_rpn_loc:,Total Loss,lr:,mask_rcnn/accuracy:,mask_rcnn/false_negative:,mask_rcnn/false_positive:,Precision,Recall,Recall,,Val,roi_head/num_bg_samples:,roi_head/num_fg_samples:,rpn/num_neg_anchors:,rpn/num_pos_anchors:,time:,total_loss:,,,Epoch,total_loss:,total_loss:,Val_loss:,,,Total Loss,,,,,,,iteration:,Total Loss,total_loss:,,,,,Epoch,Training Loss,Validation Loss,,,,,iteration:,Total Loss,,,,Epoch,Training Loss,,Validation Loss,,,,,Epoch,Training Loss,Validation Loss,,Epoch,Training,Validation
0.008387457,242.6858858,79,0.75,1,0,,0.878348678,0.795580208,0.554893613,0.210043646,0.318766132,2.757632278,0.000284361,0.686652982,0.102559957,0.434806799,0.612284982,0.870047801,,,1.224019737,96,32,129,127,0.438021774,2.792255573,,,19,5.80927904,7.25927904,7.537301547,,0.275763228,2.757632278,1.001,0.005,,,,,19,5.886896282,5.80927904,,,,,19,5.80927904,7.537301547,,,,,19,5.886896282,6.009379469,,,19,5.959062942,5.80927904,7.374685252,7.537301547,,,,19,6.070799738,7.784165252,,3.377777778,5.7391363,7.568807513
0.007530307,232.6681161,99,0.75,1,0,,0.886771858,0.779374599,0.524288565,0.19351647,0.360006452,2.743957944,0.000355718,0.721590003,0.093111823,0.415192267,0.634765357,0.885710551,,,1.229894093,96,32,128,128,0.385097762,2.759913787,,,19,5.373967797,6.823967797,7.106011527,,0.274395794,2.743957944,1.002,0.006,,,,,19,5.342480361,5.373967797,,,,,19,5.373967797,7.106011527,,,,,19,5.342480361,5.637360562,,,19,5.535939326,5.373967797,7.079393863,7.106011527,,,,19,5.566550249,7.204734835,,3.377777778,5.507094445,7.113069066
0.013782579,226.3958257,119,0.75,1,0,,0.888395995,0.762622088,0.504173338,0.175749213,0.284358948,2.615299582,0.000427075,0.728944117,0.127108607,0.35335446,0.673514807,0.851517782,,,1.209407184,96,32,128.5,127.5,0.456042643,2.617811449,,,19,5.818632662,7.268632662,7.544968518,,0.261529958,2.615299582,1.003,0.007,,,,,19,5.723552674,5.818632662,,,,,19,5.818632662,7.544968518,,,,,19,5.723552674,5.643328835,,,19,6.009587891,5.818632662,7.742439649,7.544968518,,,,19,5.950614115,7.828945677,,3.377777778,5.767727359,7.535567839
0.006723038,218.696091,139,0.75,1,0,,0.910484225,0.745442033,0.485799357,0.156173728,0.287208438,2.585107781,0.000498432,0.758430325,0.165463058,0.282624279,0.728521177,0.820906761,,,1.206517662,96,32,128,128,0.391182025,2.569160938,,,19,4.085786425,5.535786425,5.808440349,,0.258510778,2.585107781,1.004,0.008,,,,,19,4.103035584,4.085786425,,,,,19,4.085786425,5.808440349,,,,,19,4.103035584,4.688476378,,,19,4.15170041,4.085786425,5.665036334,5.808440349,,,,19,4.234282279,5.77348601,,3.377777778,4.021799365,5.881244702
0.007633166,211.917344,159,0.75,1,0,,0.85698688,0.731357723,0.496551216,0.127283901,0.26458855,2.47676827,0.000569789,0.755988919,0.224678325,0.268320047,0.738047742,0.770892394,,,1.248987291,96,32,128,128,0.447346487,2.484046869,,,19,5.166914314,6.616914314,6.888675713,,0.247676827,2.47676827,1.005,0.009,,,,,19,5.170782894,5.166914314,,,,,19,5.166914314,6.888675713,,,,,19,5.170782894,4.917109877,,,19,5.040674421,5.166914314,6.800163281,6.888675713,,,,19,4.925753069,7.081754758,,3.377777778,5.19301487,6.744197058
0.007163885,203.9681267,179,0.75,1,0,,0.85443294,0.701847136,0.465985268,0.131241478,0.267085284,2.420592107,0.000641146,0.775330835,0.226492273,0.211365232,0.785784864,0.773919895,,,1.213188341,96,32,132.25,123.75,0.3814396,2.370731257,,,19,5.165158644,6.615158644,6.886908807,,0.242059211,2.420592107,1.006,0.01,,,,,19,5.141304016,5.165158644,,,,,19,5.165158644,6.886908807,,,,,19,5.141304016,5.553124887,,,19,5.224502904,5.165158644,7.04660066,6.886908807,,,,19,5.435600255,7.134229939,,3.377777778,5.211123063,7.049671297
0.008131928,196.8064072,199,0.75,0.984375,0.015625,,0.824186146,0.695129395,0.454326212,0.123224311,0.250882745,2.347748809,0.000712504,0.782266422,0.26680764,0.184954488,0.808777409,0.745673209,,,1.23402855,96,32,128,128,0.432955188,2.344821312,,,39,3.190586016,4.640586016,4.896844999,,0.234774881,2.347748809,1.007,0.011,,,,,39,3.201389119,3.190586016,,,,,39,3.190586016,4.896844999,,,,,39,3.201389119,2.657686627,,,39,3.389967752,3.190586016,4.826808902,4.896844999,,,,39,2.952215181,4.765120277,,6.933333333,3.084460605,5.081012387
0.007319169,188.7362314,219,0.75390625,0.96875,0.03125,,0.835148424,0.670852512,0.423287183,0.104399234,0.242057666,2.275745019,0.000783861,0.8046875,0.285993504,0.149325737,0.843476242,0.737784464,,,1.24000674,96,32,128,128,0.386128713,2.257231824,,,39,3.219554126,4.669554126,4.922485061,,0.227574502,2.275745019,1.008,0.012,,,,,39,3.190354466,3.219554126,,,,,39,3.219554126,4.922485061,,,,,39,3.190354466,2.950693577,,,39,3.095442058,3.219554126,4.902322942,4.922485061,,,,39,3.481719357,4.976023247,,6.933333333,3.062001652,4.996802541
0.007275205,181.2927496,239,0.75390625,0.9140625,0.078125,,0.811772466,0.653733045,0.422193795,0.095845908,0.236780442,2.220325656,0.000855218,0.804298868,0.303379089,0.13490545,0.856361979,0.726112552,,,1.242583407,96,32,128.5,127.5,0.420263251,2.234003525,,,39,3.265826836,4.715826836,4.967301843,,0.222032566,2.220325656,1.009,0.013,,,,,39,3.283081323,3.265826836,,,,,39,3.265826836,4.967301843,,,,,39,3.283081323,3.436278964,,,39,3.43762936,3.265826836,5.139036868,4.967301843,,,,39,3.36590447,4.676413099,,6.933333333,3.201109947,5.048751652
0.007400892,173.5756356,259,0.763671875,0.875,0.1171875,,0.787164211,0.630829185,0.404690444,0.085904688,0.232675105,2.141263634,0.000926575,0.817352918,0.265228555,0.133510903,0.85958988,0.755003608,,,1.216092376,96,32,128.5,127.5,0.3969074,2.165562689,,,39,3.000409767,4.450409767,4.695040228,,0.214126363,2.141263634,1.01,0.014,,,,,39,3.046828419,3.000409767,,,,,39,3.000409767,4.695040228,,,,,39,3.046828419,3.50978507,,,39,3.114067912,3.000409767,4.705423589,4.695040228,,,,39,2.743107351,4.956300384,,6.933333333,3.032933023,4.565635635
