 epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,Total Loss,Total Val,,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,,,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
484,0.80056,1.7669,0.51141,0.94071,3.07887,2.646,,0.91879,0.78073,0.8434,0.65283,0.8328,0.67185,0.68493,0.36269,0.75581,1.4257,0.46449,,,0.92235,0.0004366,0.0004366,0.0004366
485,0.77529,1.6839,0.50256,0.94136,2.96175,2.64056,,0.92281,0.77956,0.84439,0.6532,0.83147,0.67311,0.68587,0.36263,0.75496,1.4217,0.4639,,,0.92181,0.0004168,0.0004168,0.0004168
486,0.81853,1.84,0.52705,0.9553,3.18558,2.64056,,0.92281,0.77956,0.84439,0.6532,0.83147,0.67311,0.68587,0.36263,0.75496,1.4217,0.4639,,,0.92181,0.000397,0.000397,0.000397
487,0.7688,1.7268,0.49515,0.92893,2.99075,2.63771,,0.92821,0.78007,0.8438,0.65367,0.83137,0.6759,0.68625,0.36332,0.75447,1.4202,0.46304,,,0.92119,0.0003772,0.0003772,0.0003772
488,0.85146,1.8062,0.52219,0.94723,3.17985,2.63196,,0.93571,0.77527,0.84482,0.65267,0.83272,0.67679,0.68525,0.36294,0.75337,1.4164,0.46219,,,0.92058,0.0003574,0.0003574,0.0003574
489,0.79913,1.743,0.50174,0.94006,3.04387,2.62882,,0.93801,0.77352,0.84519,0.65526,0.83231,0.6764,0.68561,0.36297,0.75161,1.4163,0.46091,,,0.91985,0.0003376,0.0003376,0.0003376
490,0.80053,1.5609,0.49523,0.9242,2.85666,2.62882,,0.93801,0.77352,0.84519,0.65526,0.83231,0.6764,0.68561,0.36297,0.75161,1.4163,0.46091,,,0.91985,0.0003178,0.0003178,0.0003178
491,0.8486,1.6014,0.52977,0.969,2.97977,2.6401,,0.92588,0.78121,0.84508,0.65234,0.81342,0.67789,0.68701,0.35986,0.75667,1.4207,0.46273,,,0.92072,0.000298,0.000298,0.000298
492,0.8108,1.5464,0.50891,0.96497,2.86611,2.6573,,0.92806,0.77856,0.84534,0.65192,0.83342,0.67894,0.68851,0.35845,0.76337,1.4291,0.46483,,,0.92255,0.0002782,0.0002782,0.0002782
493,0.79654,1.6004,0.50204,0.94208,2.89898,2.66951,,0.92404,0.77684,0.84435,0.64955,0.82286,0.67821,0.6858,0.35651,0.76939,1.4336,0.46652,,,0.92396,0.0002584,0.0002584,0.0002584
494,0.83179,1.7651,0.54022,0.94842,3.13711,2.66951,,0.92404,0.77684,0.84435,0.64955,0.82286,0.67821,0.6858,0.35651,0.76939,1.4336,0.46652,,,0.92396,0.0002386,0.0002386,0.0002386
495,0.73659,1.4178,0.47343,0.92256,2.62782,2.69417,,0.93535,0.77156,0.84432,0.64868,0.82533,0.67504,0.68465,0.35634,0.77572,1.4497,0.46875,,,0.92601,0.0002188,0.0002188,0.0002188
496,0.74067,1.3956,0.47821,0.9304,2.61448,2.70116,,0.93606,0.77129,0.84427,0.64785,0.83712,0.66986,0.68871,0.35603,0.77836,1.452,0.4708,,,0.92718,0.000199,0.000199,0.000199
497,0.77125,1.5317,0.48823,0.92339,2.79118,2.71366,,0.93645,0.76774,0.84377,0.6462,0.83756,0.67099,0.68545,0.35475,0.78188,1.4597,0.47208,,,0.92859,0.0001792,0.0001792,0.0001792
498,0.71276,1.3743,0.46752,0.92277,2.55458,2.71366,,0.93645,0.76774,0.84377,0.6462,0.83756,0.67099,0.68545,0.35475,0.78188,1.4597,0.47208,,,0.92859,0.0001594,0.0001594,0.0001594
499,0.78897,1.5837,0.49358,0.93771,2.86625,2.72283,,0.93729,0.76705,0.84242,0.64559,0.8404,0.67099,0.68638,0.35558,0.78412,1.4659,0.47281,,,0.92954,0.0001396,0.0001396,0.0001396
